Datafile FullScanSumBP FullScanMaxBP ZoomScanSumBP ZoomScanMaxBP SumTIC MaxTIC
040.296.296.2.dta 535298 535298 0 0 634015 634015
040.296.296.3.dta 535298 535298 0 0 634015 634015
040.298.298.1.dta 1054748 1054748 0 0 2409642 2409642
040.299.299.2.dta 1019945 1019945 0 0 412348 412348
040.299.299.3.dta 1019945 1019945 0 0 412348 412348
040.300.300.2.dta 768932 768932 0 0 1233638 1233638
040.300.300.3.dta 768932 768932 0 0 1233638 1233638
040.302.302.2.dta 1049929 1049929 0 0 158288 158288
040.302.302.3.dta 1049929 1049929 0 0 158288 158288
040.304.304.1.dta 887370 887370 0 0 1528212 1528212
040.307.307.1.dta 820992 820992 0 0 3155658 3155658
040.308.308.2.dta 794221 794221 0 0 528642 528642
040.308.308.3.dta 794221 794221 0 0 528642 528642
040.310.310.1.dta 523675 523675 0 0 8005721 8005721
040.311.311.1.dta 516286 516286 0 0 89485 89485
040.312.312.2.dta 477056 477056 0 0 1148490 1148490
040.312.312.3.dta 477056 477056 0 0 1148490 1148490
040.314.314.2.dta 866388 866388 0 0 586389 586389
040.314.314.3.dta 866388 866388 0 0 586389 586389
040.316.316.2.dta 723931 723931 0 0 1024760 1024760
040.316.316.3.dta 723931 723931 0 0 1024760 1024760
040.318.318.1.dta 1012437 1012437 0 0 178279 178279
040.319.319.1.dta 880553 880553 0 0 681150 681150
040.320.320.2.dta 793775 793775 0 0 120469 120469
040.320.320.3.dta 793775 793775 0 0 120469 120469
040.322.322.1.dta 1483643 1483643 0 0 1078536 1078536
040.323.323.1.dta 990710 990710 0 0 100949 100949
040.324.324.2.dta 851493 851493 0 0 453959 453959
040.324.324.3.dta 851493 851493 0 0 453959 453959
040.326.326.2.dta 738207 738207 0 0 1087734 1087734
040.326.326.3.dta 738207 738207 0 0 1087734 1087734
040.327.327.1.dta 628948 628948 0 0 661947 661947
040.328.328.2.dta 620620 620620 0 0 993985 993985
040.328.328.3.dta 620620 620620 0 0 993985 993985
040.331.331.2.dta 773916 773916 0 0 449974 449974
040.331.331.3.dta 773916 773916 0 0 449974 449974
040.332.332.1.dta 772847 772847 0 0 903274 903274
040.334.334.2.dta 815916 815916 0 0 634870 634870
040.334.334.3.dta 815916 815916 0 0 634870 634870
040.335.335.1.dta 615863 615863 0 0 832400 832400
040.336.336.1.dta 607945 607945 0 0 115605 115605
040.339.339.2.dta 1145538 1145538 0 0 208454 208454
040.339.339.3.dta 1145538 1145538 0 0 208454 208454
040.340.340.2.dta 935532 935532 0 0 526030 526030
040.340.340.3.dta 935532 935532 0 0 526030 526030
040.342.342.1.dta 1047344 1047344 0 0 851927 851927
040.343.343.2.dta 985282 985282 0 0 854678 854678
040.343.343.3.dta 985282 985282 0 0 854678 854678
040.346.346.1.dta 1033908 1033908 0 0 1237064 1237064
040.347.347.2.dta 910668 910668 0 0 802867 802867
040.347.347.3.dta 910668 910668 0 0 802867 802867
040.348.348.2.dta 846324 846324 0 0 626934 626934
040.348.348.3.dta 846324 846324 0 0 626934 626934
040.350.350.2.dta 1273490 1273490 0 0 553111 553111
040.350.350.3.dta 1273490 1273490 0 0 553111 553111
040.351.351.1.dta 1139442 1139442 0 0 113005 113005
040.352.352.1.dta 1022774 1022774 0 0 1263895 1263895
040.354.354.2.dta 1529049 1529049 0 0 151296 151296
040.354.354.3.dta 1529049 1529049 0 0 151296 151296
040.355.355.1.dta 1489088 1489088 0 0 125261 125261
040.356.356.2.dta 1466195 1466195 0 0 615150 615150
040.356.356.3.dta 1466195 1466195 0 0 615150 615150
040.358.358.1.dta 750135 750135 0 0 1065444 1065444
040.359.359.1.dta 719384 719384 0 0 1217548 1217548
040.360.360.2.dta 684088 684088 0 0 1160074 1160074
040.360.360.3.dta 684088 684088 0 0 1160074 1160074
040.363.363.1.dta 1001031 1001031 0 0 1423128 1423128
040.364.364.1.dta 984223 984223 0 0 1581950 1581950
040.366.366.2.dta 1058283 1058283 0 0 1064182 1064182
040.366.366.3.dta 1058283 1058283 0 0 1064182 1064182
040.367.367.1.dta 1015607 1015607 0 0 83955 83955
040.368.368.2.dta 946470 946470 0 0 789714 789714
040.368.368.3.dta 946470 946470 0 0 789714 789714
040.371.371.2.dta 1213574 1213574 0 0 253553 253553
040.371.371.3.dta 1213574 1213574 0 0 253553 253553
040.372.372.1.dta 1168356 1168356 0 0 218148 218148
040.374.374.1.dta 3629917 3629917 0 0 9111965 9111965
040.375.375.1.dta 1048689 1048689 0 0 160049 160049
040.376.376.2.dta 991782 991782 0 0 572661 572661
