
SEQUEST v.28 (rev. 12), (c) 1998-2007
Molecular Biotechnology, Univ. of Washington, J.Eng/S.Morgan/J.Yates
Licensed to Thermo Fisher Scientific Inc.

In memory indexing of the database took 0.3 seconds

Search run on = TESLA
Params file = C:\Xcalibur\sequest\john\opd1_2runs_2mods\ecoli.params
Peptide tol = 0.0000, fragment tol = 1.0000, AVG/AVG
Ion series = nABY ABCDVWXYZ: 0 1 1 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
Display top = 10/5, ion % = 0.0, CODE = 101050
Protein database (in-memory indexed) = C:\Xcalibur\database\ecoli_K12_ncbi_20060321.fasta
(M* +15.99940) (STY# +79.97990)  Enzyme:Trypsin(KR/P) (2)
Searched dta file  for scan(s) 202 - 202 @ z=2
Searched dta file  for scan(s) 202 - 202 @ z=3
Searched dta file  for scan(s) 203 - 203 @ z=2
Searched dta file  for scan(s) 203 - 203 @ z=3
Searched dta file  for scan(s) 204 - 204 @ z=1
Searched dta file  for scan(s) 206 - 206 @ z=2
Searched dta file  for scan(s) 206 - 206 @ z=3
Searched dta file  for scan(s) 207 - 207 @ z=1
Searched dta file  for scan(s) 208 - 208 @ z=1
Searched dta file  for scan(s) 210 - 210 @ z=1
Searched dta file  for scan(s) 211 - 211 @ z=1
Searched dta file  for scan(s) 212 - 212 @ z=1
Searched dta file  for scan(s) 214 - 214 @ z=2
Searched dta file  for scan(s) 214 - 214 @ z=3
Searched dta file  for scan(s) 215 - 215 @ z=1
Searched dta file  for scan(s) 216 - 216 @ z=2
Searched dta file  for scan(s) 216 - 216 @ z=3
Searched dta file  for scan(s) 219 - 219 @ z=2
Searched dta file  for scan(s) 219 - 219 @ z=3
Searched dta file  for scan(s) 220 - 220 @ z=1
Searched dta file  for scan(s) 222 - 222 @ z=2
Searched dta file  for scan(s) 222 - 222 @ z=3
Searched dta file  for scan(s) 223 - 223 @ z=1
Searched dta file  for scan(s) 224 - 224 @ z=1
Searched dta file  for scan(s) 226 - 226 @ z=2
Searched dta file  for scan(s) 226 - 226 @ z=3
Searched dta file  for scan(s) 227 - 227 @ z=1
Searched dta file  for scan(s) 228 - 230 @ z=1
Searched dta file  for scan(s) 231 - 231 @ z=2
Searched dta file  for scan(s) 231 - 231 @ z=3
Searched dta file  for scan(s) 232 - 232 @ z=2
Searched dta file  for scan(s) 232 - 232 @ z=3
Searched dta file  for scan(s) 234 - 234 @ z=2
Searched dta file  for scan(s) 234 - 234 @ z=3
Searched dta file  for scan(s) 235 - 235 @ z=1
Searched dta file  for scan(s) 236 - 236 @ z=2
Searched dta file  for scan(s) 236 - 236 @ z=3
Searched dta file  for scan(s) 238 - 238 @ z=1
Searched dta file  for scan(s) 239 - 239 @ z=2
